claim_id	document	statement	claim_status	evidence_scope	evidence_ids	counterevidence_ids	conditions	artifact_handles	limitations	next_discriminator
BIND-001	05_binding_and_formation_capsule.md	formation ownership is mixed, not a single repair path	historical_selected_evidence	Claim paragraph and evidence tables in 05_binding_and_formation_capsule.md	source_coverage.tsv#output:b6382ca47e5072ef7b60a40808a414bbbad9b9922f51988f6d166db7b1c81047;source_coverage.tsv#output:98a3a1dc4ddce4ecbb3d88ae3067c3d3fe86df11d48959eac52b131fcb4efe9b;source_coverage.tsv#output:00b2cfbea6cd933e121749ebf297f27b744aeb893a58ce7e428d23f6bc3ca598	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under BIND-001 in 05_binding_and_formation_capsule.md.	The component reducer has 340 rows (170 MLP and 170 self-attention across layers 17/18). Role counts are layer-18 donor snap 108, origin collapse 120, persistent worse/escape 56, rank-only target repair 24, and stable target geometry 32. Overall target-like rate is 0.1971 and target-geometry rate 0.10; worse-like rate is 0.3735.	Use the bounded next-probe guidance in 05_binding_and_formation_capsule.md; do not repeat the historical arm without changing its declared discriminator.
BIND-002	05_binding_and_formation_capsule.md	site/layer effects are heterogeneous	historical_selected_evidence	Claim paragraph and evidence tables in 05_binding_and_formation_capsule.md	source_coverage.tsv#output:b6382ca47e5072ef7b60a40808a414bbbad9b9922f51988f6d166db7b1c81047;source_coverage.tsv#output:98a3a1dc4ddce4ecbb3d88ae3067c3d3fe86df11d48959eac52b131fcb4efe9b;source_coverage.tsv#output:a22fedbca486da4df10f38c3b22356c2a891847b579a6b9f71d1dc90e03bd1cf	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under BIND-002 in 05_binding_and_formation_capsule.md.	In the component panel, L17 self-attention is donor-like on 0.7882 of rows, while L18 MLP is origin-like on 0.3765; stable-target-geometry rows are a small labeled subset, not a population rate. The transition summary is even more conditional: one clean simple-control panel has 605 rows, 57 receivers, and 121 sequences, with target-geometry rate 0 and donor/origin-like rates above 0.99.	Use the bounded next-probe guidance in 05_binding_and_formation_capsule.md; do not repeat the historical arm without changing its declared discriminator.
BIND-003	05_binding_and_formation_capsule.md	failure modes are dominated by boundary and onset conditions	historical_selected_evidence	Claim paragraph and evidence tables in 05_binding_and_formation_capsule.md	source_coverage.tsv#output:b6382ca47e5072ef7b60a40808a414bbbad9b9922f51988f6d166db7b1c81047;source_coverage.tsv#output:8617c6b42cd68aeff0d5a6423ddd6ea90b71dcb72ba079b993e8de83e40b628e;source_coverage.tsv#output:98a3a1dc4ddce4ecbb3d88ae3067c3d3fe86df11d48959eac52b131fcb4efe9b	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under BIND-003 in 05_binding_and_formation_capsule.md.	The staged failure reducer has 472 rows, split train 216/val 256. Failure loci: x1-onset anchor failure 204, premature boundary 132, tail no-rescue/delayed evidence 64, small-object weak evidence 60, and wrapper-mode router competition 12. Intrusive transitions are 245/472; strict clean local repairs are 61/472.	Use the bounded next-probe guidance in 05_binding_and_formation_capsule.md; do not repeat the historical arm without changing its declared discriminator.
BIND-004	05_binding_and_formation_capsule.md	geometry checks are valid but do not imply binding repair	historical_selected_evidence	Claim paragraph and evidence tables in 05_binding_and_formation_capsule.md	source_coverage.tsv#output:b6382ca47e5072ef7b60a40808a414bbbad9b9922f51988f6d166db7b1c81047;source_coverage.tsv#output:98a3a1dc4ddce4ecbb3d88ae3067c3d3fe86df11d48959eac52b131fcb4efe9b;source_coverage.tsv#output:03afdd68f5b42b45fc25a660b86252fdb2d5ec1919b4079740982f4d30813f3c	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under BIND-004 in 05_binding_and_formation_capsule.md.	The staged coordinate-value geometry summary has 313 input/output rows and 0 invalid geometry rows. It labels 52 clean transitions and 261 intrusive transitions; intrusive transitions have rank improvement on 0.4559 of rows and slot intrusion rate 1.0. Geometry validity is a data-quality check, not a causal success metric.	Use the bounded next-probe guidance in 05_binding_and_formation_capsule.md; do not repeat the historical arm without changing its declared discriminator.
BIND-005	05_binding_and_formation_capsule.md	continuation repairs rarely alter stopping	historical_selected_evidence	Claim paragraph and evidence tables in 05_binding_and_formation_capsule.md	source_coverage.tsv#output:b6382ca47e5072ef7b60a40808a414bbbad9b9922f51988f6d166db7b1c81047;source_coverage.tsv#output:98a3a1dc4ddce4ecbb3d88ae3067c3d3fe86df11d48959eac52b131fcb4efe9b;source_coverage.tsv#output:00b2cfbea6cd933e121749ebf297f27b744aeb893a58ce7e428d23f6bc3ca598	-	Selected historical panel; preserve the checkpoint, prefix, intervention site, metric surface, and controls stated in the owning document.	Exact artifact and recovery handles are listed under BIND-005 in 05_binding_and_formation_capsule.md.	Object-step value-region decompositions contain many `max_steps` outcomes; core continuation tables report final stop changed 0 for the highlighted repairs/harmful patches. Rank or coordinate movement therefore does not establish termination or object-count repair.	Use the bounded next-probe guidance in 05_binding_and_formation_capsule.md; do not repeat the historical arm without changing its declared discriminator.
COORD-001	08_coordinate_objective_and_decode_negatives.md	Teacher-forced coordinate diagnostics did not explain the large free-rollout detection gap	historical_result	Three historical 4B Stage-1 runs; `progress/benchmarks/stage1_training_dynamics_4b_2026-02-26.md`; TensorBoard scalars and 200-row COCO evaluation companion.	source_coverage.tsv#progress:1c29e9bef049595d40a649228b615941362b306cb977d1443050d0f31fdf1924;source_coverage.tsv#progress:3d8a00d50a1e1a047e17b3ec763ac77d35156e1c86c1c791d90e76d028abdf5f;source_coverage.tsv#progress:3cd2e3bf0aa25eafa7b1a975258410034aeca8d30fb299aad9a176fc93eda1d3	-	`stage1_4b_objective_training_dynamics`	Three historical 4B Stage-1 runs; `progress/benchmarks/stage1_training_dynamics_4b_2026-02-26.md`; TensorBoard scalars and 200-row COCO evaluation companion.	Reusable train-vs-rollout lesson; checkpoint family and old artifacts are historical. Require a tiny decode validation rather than inferring quality from teacher forcing alone.	Run only a matched follow-up inside comparable group `stage1_4b_objective_training_dynamics` with raw artifacts and declared denominators.
COORD-002	08_coordinate_objective_and_decode_negatives.md	Mixed hard-CE + soft-CE/W1/gate was stronger than single-objective baselines on the historical 4B COCO-80 val200 slice	historical_result	`progress/stage1_coco80_eval_4b_ckpts_768_vs_1024_2026-02-26.md`; three 4B-sized checkpoints, two nominal rescale presets.	source_coverage.tsv#progress:184ae03c30fb80e72ce36ef2ed7ed93760214dff3a1c694dfb63cd69e6cd47dc;source_coverage.tsv#progress:1700628808d4a60edc210cd670332848b5b9a69ce5473978e4ea5e90eece3094;source_coverage.tsv#progress:aece6302e216f651e3065e3c599005a02912562409b9930e97b75608d81b8f14	-	`stage1_4b_coco80_objective_comparison`	`progress/stage1_coco80_eval_4b_ckpts_768_vs_1024_2026-02-26.md`; three 4B-sized checkpoints, two nominal rescale presets.	Historical objective result. The “768 vs 1024” images were effectively the same 640×640 images; deltas are not a resolution ablation.	Run only a matched follow-up inside comparable group `stage1_4b_coco80_objective_comparison` with raw artifacts and declared denominators.
COORD-003	08_coordinate_objective_and_decode_negatives.md	In the clean 2B coordinate-component matrix, hard CE at `rp=1.10` was a stronger anchor than the same arm at `rp=1.05`; this is a decode × objective interaction	historical_result	`progress/benchmarks/2026-05-07_stage1_2b_coord_component_rp110_ablation.md`; COCO 1024 LVIS-proxy first 200, adapter-loaded coord tokens.	source_coverage.tsv#progress:3d8a00d50a1e1a047e17b3ec763ac77d35156e1c86c1c791d90e76d028abdf5f;source_coverage.tsv#progress:3cd2e3bf0aa25eafa7b1a975258410034aeca8d30fb299aad9a176fc93eda1d3;source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44	-	`stage1_2b_coord_component_rp_sweep`	`progress/benchmarks/2026-05-07_stage1_2b_coord_component_rp110_ablation.md`; COCO 1024 LVIS-proxy first 200, adapter-loaded coord tokens.	Strong historical decode lesson, not a global RP default. Strict/plausible proxy views are not standard COCO metrics.	Run only a matched follow-up inside comparable group `stage1_2b_coord_component_rp_sweep` with raw artifacts and declared denominators.
COORD-004	08_coordinate_objective_and_decode_negatives.md	The historical 2B val200 leaderboard mixes incompatible families and should not be read as one causal ranking	historical_result	`progress/benchmarks/stage1_2b_val200_leaderboard.md` and `progress/benchmarks/2026-07-03_coord_token_val200_benchmark.md`.	source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44;source_coverage.tsv#progress:aece6302e216f651e3065e3c599005a02912562409b9930e97b75608d81b8f14;source_coverage.tsv#progress:753b109d7a466e439a68b7f7ac746cf6bd47bbfc3d074758d4407615a191f94b	-	`stage1_2b_val200_mixed_dashboard`	`progress/benchmarks/stage1_2b_val200_leaderboard.md` and `progress/benchmarks/2026-07-03_coord_token_val200_benchmark.md`.	Registry maintenance rule: compare only within `comparable_group`; retain old rank as historical selection context.	Run only a matched follow-up inside comparable group `stage1_2b_val200_mixed_dashboard` with raw artifacts and declared denominators.
COORD-005	08_coordinate_objective_and_decode_negatives.md	Native Qwen3-VL text-coordinate baseline failures were dominated by prompt/template and stopping errors before geometry quality could be judged	historical_result	`outputs/research/qwen3-vl-native-text-coordinate-val200/benchmark.md`; repaired native-template smoke and val200.	source_coverage.tsv#output:e8e5292758323cd736a55dc68c5bf567ae7cd66ff313e50da31a663c8f9875e1;source_coverage.tsv#progress:6da69c51d288777bd3715da594d0ffb752d9f66b4e9688b6f00b39fda72cde44;source_coverage.tsv#progress:aece6302e216f651e3065e3c599005a02912562409b9930e97b75608d81b8f14	-	`native_text_coordinate_val200_runner`	`outputs/research/qwen3-vl-native-text-coordinate-val200/benchmark.md`; repaired native-template smoke and val200.	Useful parser/smoke lesson and ecological baseline only; not a causal serialization comparison.	Run only a matched follow-up inside comparable group `native_text_coordinate_val200_runner` with raw artifacts and declared denominators.
